Generated Description,Reviewed Description,Code,Type,Split
Display 3D axes and a circle. Set the camera orientation to a specific angle. Begin rotating the camera around the scene at a fast rate to create an illusion effect. Stop the camera rotation after a quarter turn. ,Display 3D axes and a circle. Set the camera orientation to a specific angle. Begin rotating the camera around 3D space of the scene at a fast rate to create an illusion effect of the 3D space. Stop the camera rotation after a quarter turn. ,"from manim import *

class ThreeDCameraIllusionRotation(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        circle=Circle()
        self.set_camera_orientation(phi=75 * DEGREES, theta=30 * DEGREES)
        self.add(circle,axes)
        self.begin_3dillusion_camera_rotation(rate=2)
        self.wait(PI/2)
        self.stop_3dillusion_camera_rotation()",Intermediate,train
,"Display the Manim logo banner alongside a title that reads “Manim version *x.y.z*”, where *x.y.z* is the current version of the Manim library being used. Both elements appear centered on the screen.","from manim import *

import manim

class TitleExample(Scene):
    def construct(self):
        banner = ManimBanner()
        title = Title(f""Manim version {manim.__version__}"")
        self.add(banner, title)",Basic,train
,"Display a 2×2 decimal matrix:  
\[
\left\{
\begin{array}{cc}
3.46 & 2.12 \\
33.22 & 12.00 \\
\end{array}
\right\}
\]  
Each element is rounded to two decimal places, and the matrix is enclosed in curly braces. It appears on screen without animation.","from manim import *

class DecimalMatrixExample(Scene):
    def construct(self):
        m0 = DecimalMatrix(
            [[3.456, 2.122], [33.2244, 12]],
            element_to_mobject_config={""num_decimal_places"": 2},
            left_bracket=""\\{"",
            right_bracket=""\\}"")
        self.add(m0)",Basic,train
,Display a square centered on the screen. Animate the square moving upward over a duration of three seconds. Then pause for one second.,"from manim import *

class RunTime(Scene):
    def construct(self):
        square = Square()
        self.add(square)
        self.play(square.animate.shift(UP), run_time=3)
        self.wait(1)",Basic,train
,"Display a set of coordinate axes with a cosine curve plotted. A yellow square is positioned exactly at the point on the curve where \( x = \pi \), visually marking that location on the graph.","from manim import *

class InputToGraphPointExample(Scene):
    def construct(self):
        ax = Axes()
        curve = ax.plot(lambda x : np.cos(x))

        # move a square to PI on the cosine curve.
        position = ax.input_to_graph_point(x=PI, graph=curve)
        sq = Square(side_length=1, color=YELLOW).move_to(position)

        self.add(ax, curve, sq)",Intermediate,train
,"Display a directed graph with five labeled nodes arranged in a circular layout, but with all arrows styled to appear undirected by removing their tips. One edge, from node 3 to node 4, is colored red for emphasis. After the graph is created, several nodes animate to new positions in 3D space: node 1 moves to the upper right, node 2 to the upper left and forward, node 3 to the lower left and back, and node 4 to the lower right and back. The edges dynamically adjust to maintain the connections between the repositioned nodes.","from manim import *

class UndirectedMovingDiGraph(Scene):
    def construct(self):
        vertices = [i for i in range(5)]
        edges = [
            (0, 1),
            (1, 2),
            (3, 2),
            (3, 4),
        ]

        edge_config = {
            ""stroke_width"": 2,
            ""tip_config"": {""tip_length"": 0, ""tip_width"": 0},
            (3, 4): {""color"": RED},
        }

        g = DiGraph(
            vertices,
            edges,
            labels=True,
            layout=""circular"",
            edge_config=edge_config,
        ).scale(1.4)

        self.play(Create(g))
        self.wait()

        self.play(
            g[1].animate.move_to([1, 1, 1]),
            g[2].animate.move_to([-1, 1, 2]),
            g[3].animate.move_to([-1.5, -1.5, -1]),
            g[4].animate.move_to([1, -2, -1]),
        )
        self.wait()",Intermediate,train
,"Display a 3D coordinate system using axes, with a 3D arrow originating from the origin (0, 0, 0) and pointing to the point (2, 2, 2). The arrow is rendered with a smooth resolution, and the camera is set at a 75° vertical angle and a 30° horizontal angle to provide a clear, tilted view of the arrow in 3D space.","from manim import *

class ExampleArrow3D(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        arrow = Arrow3D(
            start=np.array([0, 0, 0]),
            end=np.array([2, 2, 2]),
            resolution=8
        )
        self.set_camera_orientation(phi=75 * DEGREES, theta=30 * DEGREES)
        self.add(axes, arrow)",Basic,train
,"Display a solid red square on the left and a solid blue circle overlapping it from the top right. On the right side of the screen, show a green shape representing the union—combining the full areas of both the square and the circle into a single merged shape.","from manim import *

class UnionExample(Scene):
    def construct(self):
        sq = Square(color=RED, fill_opacity=1)
        sq.move_to([-2, 0, 0])
        cr = Circle(color=BLUE, fill_opacity=1)
        cr.move_to([-1.3, 0.7, 0])
        un = Union(sq, cr, color=GREEN, fill_opacity=1)
        un.move_to([1.5, 0.3, 0])
        self.add(sq, cr, un)",Basic,train
,"Display a thick parametric sine curve and a version of the same curve shifted upward, with its color smoothly transitioning from blue to red along its length. The gradient visually emphasizes the direction and flow of the curve.","from manim import *

class LineGradientExample(Scene):
    def construct(self):
        curve = ParametricFunction(lambda t: [t, np.sin(t), 0], t_range=[-PI, PI, 0.01], stroke_width=10)
        new_curve = CurvesAsSubmobjects(curve)
        new_curve.set_color_by_gradient(BLUE, RED)
        self.add(new_curve.shift(UP), curve)",Basic,train
"Display a 2×2 table with row and column labels. The first column’s text is colored red, the second column’s text is colored blue, and all labels are colored green, making each section visually distinct.","Display a 2×2 table with row and column labels. The row heading text is colored red-blue gradient, the first column’s text is colored green, others are white, making each section visually distinct.","from manim import *

class SetColumnColorsExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")]
        ).set_column_colors([RED,BLUE], GREEN)
        self.add(table)",Basic,train
